Time (s),Sound pressure level (dB)
35.25,-54.459172652621156
35.5,-59.1086015400694
35.75,-62.39210078870035
36.0,-52.13401392776376
36.25,-52.199464511895336
36.5,-53.80328280909856
36.75,-51.27301222471404
37.0,-63.083387238957535
37.25,-65.18151101684145
37.5,-57.60478943824568
37.75,-59.28898876317066
38.0,-59.77980162443269
38.25,-52.11253295011641
38.5,-50.16640356100942
38.75,-61.84477010689369
39.0,-62.777658047799505
39.25,-46.350488653887936
39.5,-58.995934672328914
39.75,-50.48930492820765
40.0,-62.38348042061985
40.25,-55.441935801777284
40.5,-54.84692172509183
40.75,-49.53438273827508
41.0,-45.95406643226677
41.25,-54.84647458442987
41.5,-50.851611086005654
41.75,-58.10466179512298
42.0,-49.85012139387628
42.25,-47.60802419614252
42.5,-46.06977168170364
42.75,-53.58350039863372
43.0,-48.551612002582736
43.25,-51.89672009852572
43.5,-46.267053103302544
43.75,-52.52803839670713
44.0,-50.1525807460492
44.25,-51.59872841905619
44.5,-54.308223270239594
44.75,-49.81459375314463
45.0,-49.28446948491786
45.25,-50.844502329043756
45.5,-65.99123584740052
45.75,-51.95012900059854
46.0,-56.5886341947002
46.25,-53.6116410039999
46.5,-51.063498891185056
46.75,-46.65912104759822
47.0,-55.69239605254629
47.25,-51.924495385126754
47.5,-51.623270354173535
47.75,-52.409028708686925
48.0,-49.88658362287088
48.25,-45.607554831868626
48.5,-50.35808157343
48.75,-56.823129488351775
49.0,-52.26010162099507
49.25,-42.55397076890712
49.5,-47.503410748077464
49.75,-51.46470915117996
50.0,-55.84269825884941
50.25,-48.20955031472619
50.5,-50.650468175846235
50.75,-42.07762927027707
51.0,-54.29921886262685
51.25,-55.248834824205055
51.5,-61.431733514118385
51.75,-55.04713402270674
52.0,-51.6884529528764
52.25,-46.41334235156757
52.5,-55.94112339416382
52.75,-49.65458353913973
53.0,-51.027724986848256
53.25,-47.52890506606701
53.5,-44.256752649393526
53.75,-51.53070740300903
54.0,-51.9953023447479
54.25,-47.490894322452895
54.5,-60.4169876039866
54.75,-53.83251636331836
55.0,-54.972537377781634
55.25,-51.39785027246586
55.5,-50.51199908781999
55.75,-57.99687150743288
56.0,-52.35875643240264
56.25,-52.952926039231485
56.5,-41.94231060414046
56.75,-52.120534239481415
57.0,-49.15091843681516
57.25,-61.063884038401
57.5,-56.335529728531085
57.75,-48.31550030457512
58.0,-58.80803927749406
58.25,-61.95927957278436
58.5,-51.40693012407671
58.75,-49.9573826823052
59.0,-47.24077618806874
59.25,-48.44697717534926
59.5,-54.399915146545446
59.75,-54.73353128339397
60.0,-47.03924872848154
60.25,-43.543031708939175
60.5,-51.45287665515361
60.75,-46.43987926287174
61.0,-48.873570207477044
61.25,-52.905897705519045
61.5,-55.536899230298886
61.75,-54.40321691651663
62.0,-54.17441801360952
62.25,-48.70574091027696
62.5,-50.544265308558536
62.75,-47.99648923703609
63.0,-53.898153034238305
63.25,-52.84040929228042
63.5,-45.16541691295884
63.75,-54.99376221034002
64.0,-50.84288444685638
64.25,-50.11230517889665
64.5,-53.83406031424135
64.75,-52.51150292673033
65.0,-59.107407036886926
65.25,-51.94971759313281
65.5,-56.90772984050611
65.75,-45.95065632935762
66.0,-66.45472559195186
66.25,-57.98587345274507
66.5,-50.39090239739867
66.75,-56.64291982748087
67.0,-52.613619653031996
67.25,-43.80209151159531
67.5,-66.90341430345934
67.75,-56.49616409027604
68.0,-44.130218230156096
68.25,-51.76653976177468
68.5,-50.93118941146008
68.75,-53.59404928417453
69.0,-52.9424305729497
69.25,-48.66664670069336
69.5,-55.64136669595107
69.75,-49.976643726428286
70.0,-57.37713569312951
70.25,-60.52139255938774
70.5,-57.27466877754337
70.75,-55.13441449460787
71.0,-49.817999842713164
71.25,-55.59164859453689
71.5,-47.24901786388499
71.75,-40.33714505146702
72.0,-51.8774411712009
72.25,-50.52823675285067
72.5,-56.42475161495249
72.75,-49.30990009236455
73.0,-46.89303530384354
73.25,-53.24398771165845
73.5,-52.591253706362615
73.75,-52.623474745554226
74.0,-52.88349340416205
74.25,-54.52322810443504
74.5,-53.89400052682322
74.75,-59.54169331748208
75.0,-57.12194708401564
75.25,-53.628969548604786
75.5,-55.07174012358
75.75,-53.85149292121984
76.0,-55.20587726212352
76.25,-47.25496620578531
76.5,-57.665735365515694
76.75,-49.428011505409685
77.0,-49.78746324109773
77.25,-55.672672187179124
77.5,-52.277220469293
77.75,-50.13440904708394
78.0,-54.72891709604498
78.25,-62.432031638585
78.5,-59.62325027332144
78.75,-45.0044397674131
79.0,-64.11944957539946
79.25,-48.46487207557452
79.5,-47.95559797599232
79.75,-47.71548060561328
80.0,-54.45229849189973
80.25,-55.32711275561355
80.5,-53.035081120381534
80.75,-61.3833755862027
